Name,URL,Type,BirthYear,DeathYear,PageLength,Age,Gender,Birthplace,BirthplaceLat,BirthplaceLon,DistanceFromTeddington
Simon Farnaby,https://en.wikipedia.org/wiki/Simon_Farnaby,Sitcom comedians,1973,,9318,52.0,Male,"Darlington, County Durham, England",54.7867084,-1.5360339,382.78
Simon Hoggart,https://en.wikipedia.org/wiki/Simon_Hoggart,Comedy panel game regulars,,,7668,,Male,"Ashton-under-Lyne, England",53.4865407,-2.098691,259.02
Simon Munnery,https://en.wikipedia.org/wiki/Simon_Munnery,Stand-up comedians,1967,,8092,58.0,Male,"Middlesex, England",51.5460558,-0.2537791,14.55
Simon Pegg,https://en.wikipedia.org/wiki/Simon_Pegg,Film,1970,,20998,55.0,Male,"Brockworth, Gloucestershire",51.8474636,-2.1551249,134.8
Sophie Duker,https://en.wikipedia.org/wiki/Sophie_Duker,Stand-up comedians,,,9114,,Female,"London, England",51.5074456,-0.1277653,16.85
Stanley Baxter,https://en.wikipedia.org/wiki/Stanley_Baxter,Impressionists,1926,,14086,99.0,Male,Glasgow,55.861155,-4.2501687,557.5
Stephen Fry,https://en.wikipedia.org/wiki/Stephen_Fry,Comedy panel game regulars,1957,,105450,68.0,Male,"Hampstead, London",51.5566155,-0.1782918,18.12
Stephen K. Amos,https://en.wikipedia.org/wiki/Stephen_K._Amos,Stand-up comedians,1967,,11154,58.0,Male,"Stephen Kehinde Amos   [1]London, England",,,
Stephen Merchant,https://en.wikipedia.org/wiki/Stephen_Merchant,Stand-up comedians,1974,,24251,51.0,Male,Bristol,51.4538022,-2.5972985,157.64
Steve Coogan,https://en.wikipedia.org/wiki/Steve_Coogan,Film,1965,,46140,60.0,Male,"Middleton, Lancashire",54.022158,-2.9009091,337.18
Steve Pemberton,https://en.wikipedia.org/wiki/Steve_Pemberton,Sketch show/alternative comedians,1967,,11672,58.0,Male,"Blackburn, Lancashire, England",53.749326,-2.4840566,297.01
Steve Punt,https://en.wikipedia.org/wiki/Steve_Punt,Sketch show/alternative comedians,1962,,4753,63.0,Male,19,45.3429047,1.8176424,694.63
